timestamp,event_type,details
2025-02-10 18:19:21,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 30.06}"
2025-02-10 18:19:21,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:22,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:26,App Switch,"{'previous_window': 'content_manager.py - Workbench - Cursor', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 5.01}"
2025-02-10 18:19:26,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:27,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:31,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:32,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 6.54}"
2025-02-10 18:19:32,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:36,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:37,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:41,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:42,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:46,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:47,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:51,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:52,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:56,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:19:57,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:01,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:02,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:06,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:07,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:11,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:12,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:16,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:17,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:21,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:22,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:26,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:27,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:31,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 58.54}"
2025-02-10 18:20:31,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:20:32,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:20:36,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:20:37,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:20:41,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:20:42,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 11.57}"
2025-02-10 18:20:42,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:46,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:47,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:51,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:52,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:56,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:20:57,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:01,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 18.47}"
2025-02-10 18:21:01,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:02,App Switch,"{'previous_window': 'content_manager.py - Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 1.55}"
2025-02-10 18:21:02,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:06,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:07,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:11,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:12,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:16,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:17,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:21,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:22,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 20.03}"
2025-02-10 18:21:22,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:26,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:27,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:31,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:32,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:36,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:37,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:21:41,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 18.48}"
2025-02-10 18:21:41,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:43,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:46,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:48,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:51,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:53,Work App Usage,{'window': 'ChatGPT'}
